,text
21,"Filippo Lippi makes this point in his Madonna and Child Enthroned with Two Angels, a painting based on the Throne of Wisdom type"
22,"In that painting one angel holds a scroll with a phrase spoken by Wisdom in the Book of Sirach, ""Come over to me, all ye that desire me, and be filled with my fruits"" (24:26)"
23,"For the 14th-century Mirror of Human Salvation ""the throne of Solomon prefigures the Most Blessed Virgin Mary in whom resides Jesus Christ, true wisdom"" (Labriola, 35).
"
24,"The Throne of Wisdom is a sculptural tradition, but one sees its influence on two-dimensional works such as this mosaic.
"
25,"The Madonna and Child
"
26,"A sculpture discovered in the early 20th century in the diocesan archives at Seu d'Urgell, Catalonia, proved to be a mid-12th century Throne of Wisdom and was restored with the child facing forward and centered on Mary's lap"
27,"But when discovered the child had been displaced from the lap to his mother's left knee.3 It is not known when this happened, but it does testify to a determined re-imagining of the Throne of Wisdom after the 12th century"
28,"Mary ceases to be a throne, the child no longer sits on her lap, and as time goes by he becomes more and more evidently a human boy"
29,An example of this transition is a late Throne of Wisdom in the Cloisters
30,"The many variations on this new iconography can be grouped under the name ""Madonna and Child.""
"
31,In these images the Virgin Mary will usually have either a blue mantle over a red robe or a red mantle over a blue robe
32,"There may be a star on her shoulder (example), especially in images earlier than the 14th century"
33,"Sometimes she may be pictured barefoot and in simple clothes (example) or seated on the floor or the bare ground, in a subtype known as the Madonna of Humility (example)"
34,"This type developed in the mid-14th century, but its popularity grew exponentially after the 1370s with the diffusion of Bridget of Sweden's Nativity vision, in which Mary adored the child lying on the ground and then ""sitting on the earth, she put her Son in her lap."" One iconographic type popular in Mexico has her wearing jewelry (example)"
35,In the case of sculptures she is usually represented standing (example)
36,"Another Mexican type, Our Lady of Light, has her holding the child on her left arm as usual while with her right she pulls a young man up out of the mouth of a monster (Zarur and Lowell, figures 40-42).
"
37,"When the child is not turned toward the viewer, he may look to his mother and touch her chin or cheek (example), a gesture adopted from the Byzantine ""Glykophilousa"" icon type"
38,"Less often, he will be looking off to the side (example)"
39,In one remarkable case in Vienna he turns from the viewer to snuggle up to his mother
40,In many Renaissance and late medieval works he holds some symbolic object in his hand
41,"It may be an orb referring to his lordship over the earth (example), or it may be an orb-shaped fruit such as a pomegranate, whose red juice symbolizes the blood of the Crucifixion and the wine of the Eucharist (example)"
42,In this statue in Spain the fruit is an apple
43,In this painting it is a pear
44,"In the Wakefield Second Shepherds' Play, the third shepherd offers the child a ball (line 734, Cawley, 62)"
45,In this less subtly symbolic image an angel hands the child a cross
46,Guido Reni's St
47,"Joseph with the Christ Child in his Arms applies this kind of symbolism to Joseph: The Christ Child looks up at him and tugs his beard with the right hand while the left holds a European Columbine, whose seven petals correspond to the ""seven sorrows"" of the Virgin Mary.5 Bronzino's ""Virgin and Child with Saint Elizabeth and Saint John the Baptist"" includes a great many symbolic references to the Passion within an otherwise tender portrait of the baby kissing his mother.
"
48,Or it may be a bird or a cluster of grapes that has captured the child's interest
49,These objects had been common in classical images of children (example).4 Rediscovery and reinterpretation of those images may have influenced Renaissance and late-medieval iconography
50,The bird may be a goldfinch or a swallow
51,The goldfinch (see the third picture at right) was said to nest in the kind of plants from which the soldiers fashioned the Crown of Thorns
52,"The swallow (example) was supposed to ""resurrect"" itself from the ground in the spring.6
"
53,The grapes in classical images of children become in Christian iconography a reference to the wine of the Eucharist and thus to the blood shed on the Cross (example)
54,In some images the grapes are offered to the child by Anne or Joseph (example)
55,"In others he holds them himself, and in a few remarkable cases even squeezes their juice into a chalice"
56,In Marten de Vos's St
57,"Luke Painting the Virgin's Portrait, the child has taken a cluster of grapes from his mother and appears to be holding it out to St"
58,"Luke, but Luke's canvas has him offering it to the viewer.7 In this case the grapes, linked symbolically with the Eucharist and Christ's giving of his blood, become an invitation to share in his sacrifice.
"
59,The way the child himself is pictured changes over time
60,"In Romanesque works he wears formal garments, holds a scroll or book in his left hand, and blesses the viewer with his right (example)"
61,In the later 13th century this formalism begins to loosen up
62,"The clothing becomes age-appropriate, and the scroll or book may be omitted (example)"
63,Instead of blessing the viewer the child will use his right hand as babies naturally do – reaching out for a pretty object (example) or for his mother's hair or neck (example)
64,"In the 15th, he is typically naked (example) and the images may portray him with fully developed genitalia (example)"
65,"(See Steinberg, Sexuality of Christ in Renaissance Art)"
66,"Starting in the mid-16th, the genitalia will be hidden by a bit of clothing (example), or Mary's hand (example), or some such device.
"
67,This emphasis on the humanity of the child leads to a vogue in the 15th and 16th centuries for the Madonna Lactans
68,"This type, seen in the west as early as the 12th century (example) and in Egypt in the 5th or 6th (Brown, 142-44), pictures the child suckling at Mary's breast (example)"
69,"This kind of image was specifically approved by Molanus (93) in 1570, but it became rather rare in the succeeding centuries"
70,"Some continuing appeal is evidenced by this contemporary display in a shop window in Bethlehem.
"
71,"Some paintings in the West derived from the Byzantine Hodegetria type, in which Mary engages the viewer's eyes while pointing to the child (example)"
72,"A close Western approximation of the Hodegetria is the image of Our Lady of Perpetual Help, which arose in the 15th century and is common even today in Catholic churches and homes"
73,"In this icon (the second picture at right) the child's future is represented by angels who carry the instruments of his passion and death.
"
74,"Another western type adapted the Byzantine Parthenos Eleousa (""Merciful Virgin""), in which Mary hugs the child tightly and he presses his cheek against hers and places his hand on her mantle or chest:
"
75,In the ca
76,"1300 stained glass image on the right (see the description page), the artist has adapted the Byzantine ""Parthenos Eleousa"" tradition to that of the Madonna Enthroned"
77,"The image on the left is a 15th-century copy of the ""Virgin of Vladimir"" icon, painted in Constantinople and brought to Kyiv in 1130.8
"
78,"Medieval examples of the influence of the ""Parthenos Eleousa"" in the West include Lorenzetti's Madonna and Child with St"
79,Mary Magdalene and St
80,"Dorothy (1325) and the Salimbenis' Madonna and Child with Saints Sebastian and John the Baptist (1416), which is like the stained glass shown above in applying it to a Virgin Enthroned image"
81,The type was also popular in the Renaissance
82,"Thereafter interest declined somewhat in the West, but we do have an example that Sassoferrato painted in the 17th century and another by Pompeo Battoni in 18th.
"
83,"Another Byzantine type influential in the west was the Pelagonitissa or ""Virgin with the Playing Child"" – ""With an abrupt movement, the Child throws his head back, grabbing onto Mary"" (Tradigo, 180)"
84,"In western treatments the child will reach for his mother's face, neck, or veil.
"
85,"Mary as Priest
"
86,"I have encountered two images, centuries apart, that dress the Virgin Mary as a priest"
87,The first is an ivory of the Ascension produced some time in the 8th to 10th century in Egypt
88,In it Mary's garments reference the Church that Christ is leaving for mankind as he returns to the Father
89,"In the other image, The Priesthood of the Virgin, from France in the 15th century, she stands at an altar with Gospel book in hand while the donor says, ""Vestment worthy of the sovereign priest."" That is, in the Incarnation Mary became the ""vestment"" of Christ.
"
90,"With the Apostles
"
91,"In Acts 1:12-14 the Apostles (called ""Men of Jerusalem"") return from witnessing the Ascension and join Mary, some other women, and Jesus' brothers in the upper room"
92,"Scripture thus excludes Mary from the group that witnessed the Ascension, and it does not say she was present at the Descent of the Holy Ghost"
93,"Nevertheless, she is pictured with the Apostles in images of the Ascension as early as the 6th century, in images of the Descent of the Holy Ghost from the 12th century onward, and at least once in a ""Doubting Thomas"" painting.9 In quite a few 12th-century works she and the Twelve will appear arranged in a band, not necessarily with her in the exact center"
94,"This is the case in some Catalan apse frescoes, where like the others she will hold an attribute – in one case a crown, in others a pitcher or bowl probably referencing the belief that the angel of the Annunciation first approached her when she was drawing water at a spring.10 In Torcello, Italy, the band is placed along the top of the rood screen; this time Mary is centered and holds the Christ Child"
95,In the crossing cupola in St
96,"Marks, Venice, the band circles around an image of Christ ascending into Heaven and Mary's figure is flanked by angels"
97,In all these examples she holds one or both hands palm-out to the viewer
98,"The gesture with two palms could be an allusion to Mary's gesture of acceptance in 12th-century and earlier Annunciations (see this note on our Annunciation page).
"
99,"IMAGES FOR SPECIFIC TITLES
"
100,Mary is known under countless titles
101,"Some refer to points of doctrine or scripture, such as the Immaculate Conception, the Mater Dolorosa, or the Candelaria"
102,"Others are associated with specific countries or locales, such as Mexico's Our Lady of Guadalupe or Panama's Santa María de la Antigua or the Salus Populi Romani in Rome."
