item,11F(MARY),11H(ANTONY ABBOT),11H(ANTONY OF PADUA),11H(AUGUSTINE),11H(DOMINIC),11H(FRANCIS),11H(JEROME),11H(JOHN THE BAPTIST),11H(JOHN),11H(JOSEPH),11H(PAUL),11H(PETER),11H(SEBASTIAN),11H(STEPHEN),11HH(BARBARA),11HH(CATHERINE),11HH(MARY MAGDALENE),John Baptist - Child,John Baptist - Dead,set
08a94dd4-81e2-4657-9070-707f86a227d0_b82b9aa2-4e76-4ae5-a83a-543584523d2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
08ad23d5-44ed-460b-b92d-522468079681_737143e3-2f36-4d01-bd32-ce4b73ccc791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
091d226c-cddf-4fc3-ac01-1bc915f30d08_9a464696-4380-4003-a6eb-7072b0f5546d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
09358945-f3b5-4816-9b24-75d91eb7edd8_7676d4a1-4d16-4bdd-8b97-3e1d4f9d82ab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0936dc53-4b53-471d-9528-b06d95b5f130_afa00891-6707-450c-93db-823cc994f221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
093cbda0-b9c4-445e-b6d3-56c423811f46_2e06bb9c-d357-47ee-8633-739e21a16a45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
094d12ee-5998-4406-ba27-33e21296e81c_922a818e-d4ab-41e2-be21-505f70848b78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
099c0135-9f05-486c-b65c-cbcb8bec64fa_6a4095af-411f-421d-aafd-a8400740ddb3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
09c96d3c-2151-4d58-9f82-e4e993492bfd_bb866016-6dc3-4a26-883e-b649cd082e70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
0a36f33b-c2fb-4dba-8667-de4037cda94b_8b4af83b-ba8b-448d-8400-94b5591ba972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0a81ec0f-f103-443b-bfe9-1e3dd05306d5_7bacdafe-bf4c-460f-bd0c-991ac1d2d839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0ac115f2-47ba-422f-85fc-128ece70fa1f_cf2cdee9-b5c4-48c2-904c-e1a3438c417f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0c7183a5-505b-4a08-a052-89ac9f2ce209_50e24fed-9596-4254-b5a3-e25efcbd5a5f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
0c8286fe-3e93-4e79-a52f-6c67d2113098_529f2640-7ab2-4940-be33-1b3e7516adf0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0c8573aa-ad2d-4672-bc2c-7067bd863153_bb1e7952-4766-41b9-bfdf-1abf01bac531,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
0cbc0618-1ef7-42bc-b114-62abf968c07d_dbd9cb50-cd6d-4cda-a677-0720f868f551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0d11c419-169b-4c6b-bacb-eb096b784683_d94ca605-e992-42c3-9e30-658570bacef5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0d126d90-7e99-416f-89ff-d77afd321dba_912a0a14-7870-4f8c-91ea-ddbc79cdcb0f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
0d538632-292c-4607-a245-62e7d4d0ad0a_4a86908d-e161-4c92-96cf-396df12e964a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0da225b3-adbe-44ea-9f36-ebe4e46bb19e_dbad6f4e-49f3-4738-99db-5cf414c45add,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
0dc1826d-a028-4c9a-8b88-7e19ebf3819b_2799f792-54f4-464a-b1d1-0ad595b001f8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0e31a4de-bf19-4e4d-8977-f61ca8211dea_ce861d32-577a-42cb-a5ea-36069a8ae2fa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0e47ce9f-8af5-4f28-8016-4228189e1a3a_44573a91-44a9-40cc-8026-43ecd182f9a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
0ef9d420-5008-449e-a44e-b632c2dbd4dc_96411f7c-d5f8-4a72-8bb4-5e75b2409626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0efd3706-0f54-4a23-87e3-dc8cd930e85a_3bf84eca-c28d-43a2-bbd7-02bdd3feeb7f,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
0f3ae0f5-c8d6-4b9d-92f1-f94d04fa47e3_f58fe113-c0d3-4036-a25f-57f25b4744f2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0f40c8b4-56bf-4017-b26c-99c9724383a7_a5f4b2fe-c71c-44a2-865b-6ff8b52b221d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0f9f706e-b952-41e2-966f-4f1952a5d256_6a4798fc-a642-4ce4-ab46-8671efb8ee16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
0feadb70-a224-4d52-bb0d-9c91b15c6233_6af8242e-013c-4b1c-8979-52af262405da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
100224714,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,train
1004258142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
100808428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
1009250986,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
1010691270,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1010968572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
101133753,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
101148487,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1016268115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1018386283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1021063850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
1023771688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
1030152379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1033734612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
1034322093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1035089589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1035842173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
1036006922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1037118437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
103e1807-2917-4906-87ce-71a3a027f37e_1a521f83-c687-448b-ac27-982bc4da237e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1042157200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1043462330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,train
1046329997,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,train
1054794602,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1057519228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1062948086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1063225095,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1065962380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1067303222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1070942838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1074819790,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,train
1075222689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,train
107619950,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,train
1078669795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1080492149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1080598821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1082075996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1082865336,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,train
1085564956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
108653474,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1086569825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
108ccc56-a642-4944-bf15-11b447b0879e_d189dbde-f997-4528-afd1-9ced4590bf25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,train
1090069855,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1091542645,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,train
1093283280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,train
109b9162-177a-46cd-906d-aeec7911d829_01692dce-f0c3-4feb-81fa-0bddd2094e46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
10f498de-8132-4479-8f55-3db6e9dcd7a9_55d14f0b-f8f1-4c1c-a4c4-2fbd8d555702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
10f985a5-ec1e-41b4-a75c-9e566c67e365_4bdfd283-be5b-4b21-96cd-2b350b7d5dbc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1104259681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train
1104469599,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1109361369,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,train
1110926924,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
111105251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1118893053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
111c9cea-7840-42b6-9df7-b2f2ecdbfa56_dcc0b871-e3a1-41e5-8775-1dee278f6144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
112182114,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1124291543,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1124850093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
1128333953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
113010124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,train
1135267390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1136503408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1136729321,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,train
1138147150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1138291797,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1140704792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1144095490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1145976115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1146488409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1147299022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1150488446,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,train
1150601581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
1152443211,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1158853138,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,train
11619e55-2fef-4a5b-a9b4-8412f998a3c0_f9f1c514-2981-43ef-b7eb-d721cb451427,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1168189045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
116e5d91-b895-48cf-9cf1-3bd5bf17f983_a10ef0d0-006f-4c65-a80d-acf26365c1c9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1174796885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1178200421,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1178523866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1181864318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1183332702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1186631653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1188383814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train
1189073877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
119164868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1193557734,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1195502463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1195765808,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,train
1196207001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1199808387,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1199978211,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,train
11a9dae6-3f95-4a92-9393-9ccc6b293581_23712e54-f55c-4f1c-8224-45449914e39b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
1200058309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1200664575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1202292689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
1207449048,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1207537051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1208914496,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1211737742,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,train
1211941195,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1212714411,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1214062957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1214360914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,train
1214461186,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,train
1217290257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1218207620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1220050922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
122269,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,val
1222b1e7-71b2-44c7-b4cf-4e2899fb0a65_84c918af-fa98-4fbc-85b6-9571bc35d68e,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1226389495,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1229867984,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,train
1232615350,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1236687223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1238683435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1242247881,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,train
1244675038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,train
12449525-7b03-42dc-897b-3097367599f6_55f90aa6-b500-494b-94c9-2a1fff8a1936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1250336016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
1251380279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1253738497,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,train
1261376195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1262886595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1264572365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1264688882,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,train
1267601483,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1267978894,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1269942329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1271074305,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1275118387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1277193884,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,train
1278751295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
1280335274,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,train
1283352947,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,train
1287282202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1287361848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1289728457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
1292027936,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,train
1293652193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1293695785,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,train
129652023,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,train
1300095688,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
13000bf4-0028-4a6c-9c6a-16732f183371_216be827-6ee8-470e-b679-65938dd04f1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
1303376927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1304744325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
1304801319,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,test
130678585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
1309615406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
1309950174,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1313271307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
1313626911,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
1319475304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
